study_id,pmid,metric,effect_size,standard_error,variance,weight,study_design,sample_size_fm,sample_size_control,country,publication_year,quality_score,sequencing_platform
"Ievina, 2024",39456224,shannon,-0.3720,0.4780,0.2285,4.3767,Pilot,17,6,USA,2024,7,Illumina
"Ievina, 2024",39456224,simpson,-0.4700,0.4800,0.2304,4.3403,Pilot,17,6,USA,2024,7,Illumina
"Ievina, 2024",39456224,chao1,-0.3670,0.4780,0.2285,4.3767,Pilot,17,6,USA,2024,7,Illumina
"Ievina, 2024",39456224,observed,-0.4530,0.4800,0.2304,4.3403,Pilot,17,6,USA,2024,7,Illumina
"Nhu, 2024",37866648,shannon,-0.3730,0.4570,0.2088,4.7881,Cross-sectional,25,6,International,2024,7,Illumina
"Nhu, 2024",37866648,simpson,-0.4690,0.4590,0.2107,4.7465,Cross-sectional,25,6,International,2024,7,Illumina
"Nhu, 2024",37866648,chao1,-0.3690,0.4570,0.2088,4.7881,Cross-sectional,25,6,International,2024,7,Illumina
"Nhu, 2024",37866648,observed,-0.4550,0.4590,0.2107,4.7465,Cross-sectional,25,6,International,2024,7,Illumina
"Kim, 2023",36833885,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2023,8,Illumina
"Weber, 2022",36149895,shannon,-0.3930,0.2860,0.0818,12.2255,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,simpson,-0.5070,0.2880,0.0829,12.0563,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,chao1,-0.3810,0.2860,0.0818,12.2255,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,observed,-0.4720,0.2870,0.0824,12.1405,Case-control,25,25,International,2022,8,Illumina
"Baldi, 2022",35664958,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2022,8,Illumina
"Minerbi, 2023",35587528,shannon,-0.3880,0.2550,0.0650,15.3787,Cohort,42,25,International,2023,8,Illumina
"Minerbi, 2023",35587528,simpson,-0.4950,0.2560,0.0655,15.2588,Cohort,42,25,International,2023,8,Illumina
"Minerbi, 2023",35587528,chao1,-0.3790,0.2550,0.0650,15.3787,Cohort,42,25,International,2023,8,Illumina
"Minerbi, 2023",35587528,observed,-0.4690,0.2560,0.0655,15.2588,Cohort,42,25,International,2023,8,Illumina
"Albayrak, 2021",33882648,shannon,-0.3960,0.1940,0.0376,26.5703,Cohort,54,54,International,2021,9,Illumina
"Albayrak, 2021",33882648,simpson,-0.5120,0.1960,0.0384,26.0308,Cohort,54,54,International,2021,9,Illumina
"Albayrak, 2021",33882648,chao1,-0.3840,0.1940,0.0376,26.5703,Cohort,54,54,International,2021,9,Illumina
"Albayrak, 2021",33882648,observed,-0.4760,0.1950,0.0380,26.2985,Cohort,54,54,International,2021,9,Illumina
"Freidin, 2021",33331911,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
