pmid,title,abstract,authors,journal,publication_year,doi,mesh_terms,publication_type
40452048,Study Title for PMID 40452048,Abstract text for PMID 40452048,"Author1, Author2 et al.",Journal Name,2023,10.1000/40452048,"Fibromyalgia, Microbiome",Journal Article
39456224,Study Title for PMID 39456224,Abstract text for PMID 39456224,"Author1, Author2 et al.",Journal Name,2023,10.1000/39456224,"Fibromyalgia, Microbiome",Journal Article
37866648,Study Title for PMID 37866648,Abstract text for PMID 37866648,"Author1, Author2 et al.",Journal Name,2023,10.1000/37866648,"Fibromyalgia, Microbiome",Journal Article
37069814,Study Title for PMID 37069814,Abstract text for PMID 37069814,"Author1, Author2 et al.",Journal Name,2023,10.1000/37069814,"Fibromyalgia, Microbiome",Journal Article
36833885,Study Title for PMID 36833885,Abstract text for PMID 36833885,"Author1, Author2 et al.",Journal Name,2023,10.1000/36833885,"Fibromyalgia, Microbiome",Journal Article
36149895,Study Title for PMID 36149895,Abstract text for PMID 36149895,"Author1, Author2 et al.",Journal Name,2023,10.1000/36149895,"Fibromyalgia, Microbiome",Journal Article
36011823,Study Title for PMID 36011823,Abstract text for PMID 36011823,"Author1, Author2 et al.",Journal Name,2023,10.1000/36011823,"Fibromyalgia, Microbiome",Journal Article
35664958,Study Title for PMID 35664958,Abstract text for PMID 35664958,"Author1, Author2 et al.",Journal Name,2023,10.1000/35664958,"Fibromyalgia, Microbiome",Journal Article
35587528,Study Title for PMID 35587528,Abstract text for PMID 35587528,"Author1, Author2 et al.",Journal Name,2023,10.1000/35587528,"Fibromyalgia, Microbiome",Journal Article
34382150,Study Title for PMID 34382150,Abstract text for PMID 34382150,"Author1, Author2 et al.",Journal Name,2023,10.1000/34382150,"Fibromyalgia, Microbiome",Journal Article
33882648,Study Title for PMID 33882648,Abstract text for PMID 33882648,"Author1, Author2 et al.",Journal Name,2023,10.1000/33882648,"Fibromyalgia, Microbiome",Journal Article
33331911,Study Title for PMID 33331911,Abstract text for PMID 33331911,"Author1, Author2 et al.",Journal Name,2023,10.1000/33331911,"Fibromyalgia, Microbiome",Journal Article
31327695,Study Title for PMID 31327695,Abstract text for PMID 31327695,"Author1, Author2 et al.",Journal Name,2023,10.1000/31327695,"Fibromyalgia, Microbiome",Journal Article
31219947,Study Title for PMID 31219947,Abstract text for PMID 31219947,"Author1, Author2 et al.",Journal Name,2023,10.1000/31219947,"Fibromyalgia, Microbiome",Journal Article
