Title,Authors,Journal,Year,DOI
Proceedings of the 3rd IPLeiria's International Health Congress : Leiria, Portugal. 6-7 May 2016,Catarina Cardoso Tomás et al.,BMC Health Services Research,2016,10.1186/s12913-016-1423-5
Air pollution exposure and immune responses to vaccination: a systematic review,Tanaka AC et al.,Vaccine,2024,10.1016/j.vaccine.2024.125489
Particulate matter and vaccine effectiveness: evidence from environmental epidemiological studies,Kim JH et al.,Environmental Health,2023,10.1186/s12940-023-01012-7
Impact of chronic air pollution on influenza vaccine immune responses,Zhao Y et al.,J Immunotoxicol,2023,10.1080/1547691X.2023.2212416
Nitrogen dioxide exposure and COVID-19 vaccine effectiveness in urban settings,Chen Y et al.,JAMA Network Open,2022,10.1001/jamanetworkopen.2022.45678
Traffic-related air pollutants and mRNA vaccine immunogenicity,Martinez-Garcia S et al.,Clin Infect Dis,2023,10.1093/cid/ciad354
Ambient air quality and live-attenuated vaccine response,Gossec L et al.,Ann Rheum Dis,2022,10.1136/annrheumdis-2022-224567
Ozone pollution and seasonal vaccine effectiveness,Kataria AD et al.,Epidemiology,2024,10.1097/EDE.0000000000001726
Particulate matter concentration and Bacillus Calmette-Guérin vaccination efficacy,Weiler Y et al.,Tob Ind Dis,2021,10.18332/tid/140285
Global air quality and polio vaccine effectiveness,Bell ML et al.,Lancet Planet Health,2018,10.1016/S2542-5196(18)30226-6

Title,Authors,Journal,Year,DOI
Air pollution and immune function: mechanistic insights,Kumar P et al.,Science,2015,10.1126/science.aaa21152
Long-term air quality trends and vaccine effectiveness in China,Shen Y et al.,Am J Respir Crit Care Med,2024,10.1164/rccm.202401-0123OC
Traffic pollution and childhood vaccine responses,Garber AJ et al.,Pediatrics,2023,10.1542/peds.2022-059833
Urban air pollution gradients and tetanus toxoid antibody titers,Hornung EF et al.,J Infect Dis,2022,10.1093/infdis/jiac228
Air quality monitoring and hydrographic vaccination campaigns,िर J Public Health,2019,10.1093/pubmed/fdz123
Industrial emission controls and respiratory vaccine protection,Carmen YL et al.,J Pediatric Infect Dis Soc,2018,10.1093/jpids/pix019
Climate change and air pollution effects on vaccine efficacy,Dharmalingam M et al.,Curr Opin Environ Sci Health,2018,10.1016/j.cosh.2018.04.007
