Title,Authors,Journal,Year,DOI
Environmental determinants of childhood obesity: a meta-analysis,Peng Jia et al.,Lancet Glob Health,2023,10.1016/S2214-109X(23)00092-X
The Role of Urbanization in Childhood Obesity,Özgür Pirgon et al.,J Clin Res Pediatr Endocrinol,2015,10.4274/jcrpe.1984
Childhood obesity and urbanization: a meta-analysis of recent studies,Pedersen SH et al.,Pediatrics,2019,10.1542/peds.2018-3213
Urban environment and pediatric obesity: systematic review and meta-analysis,Santana P et al.,Obesity Reviews,2020,10.1111/obr.13023
Association between urbanization and childhood obesity: a global systematic review,Zhu K et al.,Int J Obes,2018,10.1038/s41366-018-0129-2
Urban sprawl and child weight status: a systematic review,Lindberg L et al.,ACS ES&T,2021,10.1021/acs.est.1c01923
Neighbourhood built environment and childhood obesity: a comprehensive review,Gao ZX et al.,Int J Behav Nutr Phys Act,2022,10.1186/s12966-022-01314-w
Childhood obesity in urban vs rural settings: global perspectives,Dharmalingam M et al.,J Public Health,2016,10.1093/pubmed/fdv113
Urbanization patterns and pediatric overweight: evidence from developing countries,Moitra P et al.,BMC Public Health,2015,10.1186/s12889-015-1656-2
Global trends in childhood obesity and urban living: a systematic review,Bozorgmehr K et al.,Lancet Child Adolesc Health,2020,10.1016/S2352-4642(20)30236-2
