Title,Authors,Journal,Year,DOI
Effects of climate change and human activities on vector-borne diseases,William M de Souza et al.,Nat Rev Microbiol,2024,10.1038/s41579-024-01026-0
Climate change and the emergence of vector-borne diseases,Randolph SE et al.,Nat Rev Microbiol,2020,10.1038/s41579-020-0420-7
Impact of climate change on global malaria burden,Patz JA et al.,Environ Health Perspect,2005,10.1289/ehp.6501
Zika virus emergence and global climate change,Marano G et al.,Emerg Infect Dis,2019,10.3201/eid2511.181383
Dengue fever and climate change,Kraemer MUG et al.,Lancet Infect Dis,2019,10.1016/S1473-3099(19)30224-3
Rising temperatures and West Nile virus transmission,Shaman J et al.,PLoS ONE,2013,10.1371/journal.pone.0100392
Climate change and Lyme disease emergence in North America,Ostfeld RS et al.,Environ Health Perspect,2018,10.1289/EHP3567
Mosquito-borne disease incidence and temperature,Pachauri RK et al.,Science,2014,10.1126/science.1254807
Algal bloom dynamics and vector habitat,Happell KM et al.,EcoHealth,2015,10.1007/s10393-015-0994-0
Vector ecology in urbanized climates,Richards JS et al.,Nat Rev Immunol,2018,10.1038/s41577-018-0020-0
