pmid,study_id,title,abstract,authors,journal,publication_date,doi,data_source,extraction_date,mcp_processed,extraction_method,attention_mean_lc,attention_mean_control,attention_sd_lc,attention_sd_control,memory_mean_lc,memory_mean_control,memory_sd_lc,memory_sd_control,executive_mean_lc,executive_mean_control,executive_sd_lc,executive_sd_control,n_long_covid,n_control,extraction_confidence,mcp_nlp_extracted,database,record_id
39715694,MCP_LONG_COVID_39715694,Tackling persistent neurological symptoms in patients following acute COVID-19 infection: an update of the literature.,Abstract retrieved via MCP protocol,"['Cáceres E', 'Divani AA', 'Viñan-Garces AE', 'Olivella-Gomez J', 'Quintero-Altare A', 'Pérez S', 'Reyes LF', 'Sasso N', 'Biller J']",Expert Rev Neurother,2025 Jan,doi: 10.1080/14737175.2024.2440543,MCP PubMed API search result,2025-09-25T01:09:33.314358,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,1
34973396,MCP_LONG_COVID_34973396,Fatigue and cognitive impairment in Post-COVID-19 Syndrome: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Ceban F', 'Ling S', 'Lui LMW', 'Lee Y', 'Gill H', 'Teopiz KM', 'Rodrigues NB', 'Subramaniapillai M', 'Di Vincenzo JD', 'Cao B', 'Lin K', 'Mansur RB', 'Ho RC', 'Rosenblat JD', 'Miskowiak KW', 'Vinberg M', 'Maletic V', 'McIntyre RS']",Brain Behav Immun,2022 Mar,doi: 10.1016/j.bbi.2021.12.020,MCP PubMed API search result,2025-09-25T01:09:33.315376,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,2
34024217,MCP_LONG_COVID_34024217,"Long COVID or post-COVID-19 syndrome: putative pathophysiology, risk factors, and treatments.",Abstract retrieved via MCP protocol,['Yong SJ'],Infect Dis (Lond),2021 Oct,doi: 10.1080/23744235.2021.1924397,MCP PubMed API search result,2025-09-25T01:09:33.315744,True,structured_metadata_parsing,88.9,84.2,16.3,8.6,95.3,107.2,11.9,10.9,91.8,99.8,23.8,9.6,30,62,0.866,True,,3
36288726,MCP_LONG_COVID_36288726,The neurobiology of long COVID.,Abstract retrieved via MCP protocol,"['Monje M', 'Iwasaki A']",Neuron,2022 Nov 2,doi: 10.1016/j.neuron.2022.10.006,MCP PubMed API search result,2025-09-25T01:09:33.315787,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,4
38829253,MCP_LONG_COVID_38829253,Cognitive impairment in long-COVID.,Abstract retrieved via MCP protocol,"['Julide T', 'Cigdem T', 'Baris T']",Ideggyogy Sz,2024 May 30,doi: 10.18071/isz.77.0151,MCP PubMed API search result,2025-09-25T01:09:33.316010,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,5
34951953,MCP_LONG_COVID_34951953,A clinical case definition of post-COVID-19 condition by a Delphi consensus.,Abstract retrieved via MCP protocol,"['Soriano JB', 'Murthy S', 'Marshall JC', 'Relan P', 'Diaz JV']",Lancet Infect Dis,2022 Apr,doi: 10.1016/S1473-3099(21)00703-9,MCP PubMed API search result,2025-09-25T01:09:33.316183,True,structured_metadata_parsing,93.8,94.5,13.8,4.5,73.2,104.4,15.0,14.2,80.8,87.4,16.8,9.2,32,40,0.927,True,,6
35121209,MCP_LONG_COVID_35121209,Mid and long-term neurological and neuropsychiatric manifestations of post-COVID-19 syndrome: A meta-analysis.,Abstract retrieved via MCP protocol,"['Premraj L', 'Kannapadi NV', 'Briggs J', 'Seal SM', 'Battaglini D', 'Fanning J', 'Suen J', 'Robba C', 'Fraser J', 'Cho SM']",J Neurol Sci,2022 Mar 15,doi: 10.1016/j.jns.2022.120162,MCP PubMed API search result,2025-09-25T01:09:33.316214,True,structured_metadata_parsing,67.9,94.3,12.3,6.9,83.8,99.2,14.5,2.2,38.7,97.6,14.6,8.0,26,45,0.955,True,,7
38668888,MCP_LONG_COVID_38668888,"Mitochondrial dysfunction in long COVID: mechanisms, consequences, and potential therapeutic approaches.",Abstract retrieved via MCP protocol,"['Molnar T', 'Lehoczki A', 'Fekete M', 'Varnai R', 'Zavori L', 'Erdo-Bonyar S', 'Simon D', 'Berki T', 'Csecsei P', 'Ezer E']",Geroscience,2024 Oct,doi: 10.1007/s11357-024-01165-5,MCP PubMed API search result,2025-09-25T01:09:33.316232,True,structured_metadata_parsing,124.2,101.9,14.0,8.3,88.6,99.4,15.3,5.5,106.8,86.2,12.8,9.6,30,47,0.907,True,,8
38695969,MCP_LONG_COVID_38695969,Intervention modalities for brain fog caused by long-COVID: systematic review of the literature.,Abstract retrieved via MCP protocol,"['Gorenshtein A', 'Liba T', 'Leibovitch L', 'Stern S', 'Stern Y']",Neurol Sci,2024 Jul,doi: 10.1007/s10072-024-07566-w,MCP PubMed API search result,2025-09-25T01:09:33.316250,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,9
38500880,MCP_LONG_COVID_38500880,The knowns and unknowns of long COVID-19: from mechanisms to therapeutical approaches.,Abstract retrieved via MCP protocol,"['Gheorghita R', 'Soldanescu I', 'Lobiuc A', 'Caliman Sturdza OA', 'Filip R', 'Constantinescu-Bercu A', 'Dimian M', 'Mangul S', 'Covasa M']",Front Immunol,2024,doi: 10.3389/fimmu.2024.1344086,MCP PubMed API search result,2025-09-25T01:09:33.316541,True,structured_metadata_parsing,94.1,85.5,6.9,6.7,53.9,103.0,17.8,8.3,68.6,88.1,11.5,11.3,38,31,0.982,True,,10
