study_id,bias_domain_1,bias_domain_2,bias_domain_3,bias_domain_4,bias_domain_5,bias_domain_6,overall_bias_risk,confidence_rating,quality_score,study_design,neuropsychologist_blinding,control_matching
MCP_LONG_COVID_39715694,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34973396,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34024217,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36288726,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38829253,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34951953,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35121209,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38668888,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38695969,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38500880,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36326545,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36626183,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34265229,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_37866679,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34042167,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38416429,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38237983,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36600580,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36821951,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36947108,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38388736,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35297561,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34244323,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_37870989,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_39198643,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35768007,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38562097,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36857178,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38447388,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_40627388,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_1,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_2,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_3,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
