pmid,title,abstract,journal,year,authors,mesh_terms,keywords,relevance_score
37700179,The impact of a non-restrictive Antimicrobial Stewardship Program in the emergency department of a secondary-level Italian hospital.,"Evidence supporting the effectiveness of Antimicrobial Stewardship (AMS) Programs in the emergency department (ED) setting is limited. We conducted a prospective cohort study to assess the efficacy of an AMS program in an ED and a short-stay observation unit. The intervention included periodic prospective audits (twice a week), conducted by four infectious disease consultants. Primary outcomes included the difference in the hospital mortality rate, antibiotic consumption, and the incidence of bloodstream infections (BSI) caused by multidrug resistant (MDR) bacteria, before March 2020-February 2021 and after March 2021-February 2022 when the program was implemented. Interrupted time-series analysis was performed to assess the effect of our program. During the 12-month program, we performed 152 audits and evaluated 366 antibiotic therapies out of a total of 853 patients admitted. In the intervention period, we observed a non-statistically significant decrease in total antibiotic consumption, with a change in level of - 31.2 defined daily dose/100 patient-days (PD) (p = 0.71). Likewise, we found no significant variations in the rate of BSI due to MDR Gram-positive (CT - 0.02 events/PD, p = 0.84), MDR Gram-negative bacteria (CT 0.08, p = 0.71), or Candida spp. (CT 0.008, p = 0.86). Conversely, we found a significant decrease in the mortality rate between the pre- and post-intervention periods (- 1.98 deaths/100 PD, CI - 3.9 to - 0.007, p = 0.049). The Antibiotic Stewardship Program in the ED was associated with a significant decrease in the mortality rate. More high-quality studies are needed to determine the most effective ASP strategies in this unique setting.",Internal and emergency medicine,2024,Caterina Monari; Lorenzo Onorato; Enrico Allegorico; Valentina Minerva; Margherita Macera; Giorgio Bosso; Federica Calò; Antonio Pagano; Teresa Russo; Gennaro Sansone; Marina D'Isanto; Antonio Casciotta; Monica Vanni; Fabio Giuliano Numis; Nicola Coppola,"['Humans', 'Antimicrobial Stewardship', 'Prospective Studies', 'Anti-Bacterial Agents', 'Hospitals', 'Emergency Service, Hospital', 'Italy']","['Antimicrobial stewardship', 'Audit', 'DDI', 'Emergency department', 'MDR']",7
35905080,Prospective audit and feedback implementation by a multidisciplinary antimicrobial stewardship team shortens the time to de-escalation of anti-MRSA agents.,"Prospective audit and feedback (PAF) is considered an effective procedure for appropriate antibiotic use. However, its effect on the time to de-escalation is unclear. We aimed to evaluate the effect of daily PAF implementation, focusing on the time to de-escalation of anti-methicillin-resistant Staphylococcus aureus (MRSA) agents as an outcome measure. To this end, a single-center, retrospective, quasi-experimental study including patients treated with intravenous anti-MRSA agents during pre-PAF (April 1, 2014 to March 31, 2015) and post-PAF (April 1, 2015 to March 31, 2016) periods was conducted. The time to de-escalation was estimated using the Kaplan-Meier method, and Cox proportional hazard analysis was performed to assess the effect of daily PAF implementation on the time to de-escalation. Interrupted time series analysis was used to evaluate the relationship between daily PAF implementation and anti-MRSA agent utilization data converted to defined daily dose (DDD) and days of therapy (DOT) per 1,000 patient days. The median time to de-escalation was significantly shorter in the post-PAF period than in the pre-PAF period (6 days vs. 7 days, P < 0.001). According to multivariate analysis, PAF implementation was independently associated with a shorter time to de-escalation (hazard ratio [HR], 1.18; 95% confidence interval [CI], 1.02 to 1.35). There were no significant differences in hospital mortality, 30-day mortality, and length of stay between the two periods. Interrupted time series analysis showed significant reductions in the trends of DDD (trend change, -0.65; 95% CI, -1.20 to -0.11) and DOT (trend change, -0.74; 95% CI, -1.33 to -0.15) between the pre-PAF and post-PAF periods. Daily PAF implementation for patients treated with intravenous anti-MRSA agents led to a shorter time to de-escalation and lower consumption of anti-MRSA agents without worsening the clinically important outcomes.",PloS one,2022,Ryo Yamaguchi; Takehito Yamamoto; Koh Okamoto; Keita Tatsuno; Mahoko Ikeda; Takehiro Tanaka; Yoshitaka Wakabayashi; Tomoaki Sato; Shu Okugawa; Kyoji Moriya; Hiroshi Suzuki,"['Anti-Bacterial Agents', 'Antimicrobial Stewardship', 'Feedback', 'Humans', 'Methicillin-Resistant Staphylococcus aureus', 'Retrospective Studies']",[],7
30680565,Clinical outcome of pharmacist-led prospective audit with intervention and feedback after expansion from patients using specific antibiotics to those using whole injectable antibiotics.,"Prospective audit with intervention and feedback (PAF) and preauthorisation of antimicrobials are core strategies for antimicrobial stewardship (AS). PAF participants were expanded from patients using specific antibiotics to those using whole injectable antibiotics to evaluate clinical outcome. From January 2016 to December 2016, PAF was performed in patients using specific antibiotics (period 1) and from January 2017 to December 2017, PAF was performed in patients using whole injectable antibiotics (period 2). PAF was implemented for 5 days every week by pharmacists involved in infectious diseases chemotherapy. In total, 11,571 and 11,103 patients used antibiotic injections during periods 1 and 2, respectively. No significant difference in mortality within 30 days from the initial use of injection antibiotics was observed. The average duration of hospitalisation was significantly shorter during period 2 among patients using antibiotics; however, this was not significantly different from that of patients not receiving antibiotics. The average duration of therapy for intravenous antibiotics was significantly shorter during period 2 than during period 1. The ratio of methicillin-resistant Staphylococcus aureus (MRSA) to S. aureus was significantly low during period 2. The duration of intravenous antibiotic therapy for Escherichia coli bacteraemia during period 2 decreased significantly. De-escalation and appropriate antimicrobial treatment rates at specific doses during period 2 increased significantly. Expansion of patients eligible for PAF from patients using specific antibiotics to patients using whole injectable antibiotics shortened hospital stays, suppressed drug resistance, and promoted the appropriate use of antibiotics.",European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,2019,Kengo Ohashi; Tomoko Matsuoka; Yasutaka Shinoda; Takayuki Mori; Shinya Yoshida; Tomoaki Yoshimura; Tadashi Sugiyama,"['Administration, Intravenous', 'Anti-Infective Agents', 'Antimicrobial Stewardship', 'Controlled Before-After Studies', 'Drug Resistance, Bacterial', 'Drug Utilization', 'Humans', 'Japan', 'Length of Stay', 'Medical Overuse', 'Pharmacists', 'Program Evaluation']","['Antimicrobial resistance', 'Antimicrobial stewardship', 'Intervention', 'Japan', 'Pharmacist', 'Prospective audit with intervention and feedback']",6
31545768,Educational ICU Antimicrobial Stewardship model: the daily activities of the AMS team over a 10-month period.,"The emergence of antibiotic resistance as a consequence of inappropriate use results in higher mortality rates and has become a major public health challenge worldwide. Antimicrobial stewardship programs (ASPs) aim to ensure proper use of antimicrobials and reduce health care costs. We assessed the impact of using a behavioral approach during a persuasive ASP on antibiotic appropriateness, consumption and costs. We conducted a prospective interventional cohort before-and-after study in the intensive care unit (ICU) of a 554-bed, university teaching hospital in Terni, Italy, 14 of which are located in the ICU. We describe a 10-month persuasive ASP intervention model used in a referral ICU with daily rounds. The aim of the study was to improve medication appropriateness through educational action and reduce the consumption of carbapenems and echinocandins by conducting post-prescription reviews, prescribing reviews and holding daily discussions with the ICU team. We analyzed the prescribing appropriateness of the ICU team in accordance with the decisions made by the Antimicrobial Stewardship (AMS) team to improve the quality of antibiotic prescribing during the first five months and the last five months of the surveillance period. The results were expressed as the defined daily dose (DDD) per 100 occupied bed-days and costs. The data were compared with those previously obtained during the pre-educational period (the year before ASP implementation). Comparisons were made between the decisions taken to improve antimicrobial treatments administered during the first half of the surveillance period (March-July) and those administered during the second half (August-December). In all, 116 decisions were made from March to July while only 65 were made from August to December (p-value 0.00001). A significant reduction was observed in the consumption of carbapenems and echinocandins (11.15% and 25.62%, respectively). Total antibiotic cost savings amounted to 57,541.16 euros. The persuasive ASP strategy positively influenced the prescribing behavior of physicians, thus improving the appropriateness of antibiotic therapy and reducing antimicrobial consumption.",Le infezioni in medicina,2019,Stefano Cappanera; Beatrice Tiri; Giulia Priante; Emanuela Sensi; Marialaura Scarcella; Lorenzina Bolli; Monya Costantini; Paolo Andreani; Susanna Sodo; Lucia Assunta Martella; Daniela Francisci,"['Antimicrobial Stewardship', 'Carbapenems', 'Controlled Before-After Studies', 'Drug Resistance, Bacterial', 'Echinocandins', 'Hospitals, Teaching', 'Humans', 'Inappropriate Prescribing', 'Intensive Care Units', 'Italy', 'Models, Organizational', 'Prospective Studies', 'Time Factors']",[],6
32088130,The effect of preauthorization and prospective audit and feedback system on oral antimicrobial prescription for outpatients at a children's hospital in Japan.,"Antimicrobial stewardship programs (ASP) for oral antibiotics is still uncommon, despite the fact that oral antibiotics prescription accounts for 90% of total antibiotic consumption in developed countries. We introduced preauthorization and prospective audit and feedback (PAF) system on broad-spectrum oral antimicrobials as a part of ASP intervention from October 2015 in a tertiary children's hospital in Japan. Antimicrobial consumption and cost of targeted oral antimicrobials decreased from 11.1 days of therapy (DOT) per 1000 outpatient visits and 860,040 yen ($ 7167: 1 $ = 120 yen) to 1.9 DOT per 1000 outpatient visits and 142,200 yen ($ 1185) annually, respectively (p < 0.001). Interrupted time-series analysis showed that prescriptions for targeted antimicrobials decreased rapidly after initiation of preauthorization (p < 0.001). Prescriptions for non-targeted oral antimicrobial increased temporarily (p < 0.001), but a decreasing trend was found after the initiation (p < 0.001). In pre-intervention period, the main indications for using targeted antimicrobials were upper and lower respiratory infection, urinary tract infections, prophylaxis for medical procedures and otitis media, but only 21.4% of them were appropriate prescription. The appropriate prescription rate of post -intervention period increased to 58.5%. During the study period, the susceptibility pattern of major bacteria to these antimicrobials did not change. In conclusion, introduction of the preauthorization and PAF for selected oral antimicrobials decreased the antimicrobial use of both targeted and non-targeted antimicrobials. This intervention may be an effective method of ASP for other children's hospitals.",Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2020,Noriko Kinoshita; Makoto Komura; Shinya Tsuzuki; Kensuke Shoji; Isao Miyairi,"['Administration, Oral', 'Adolescent', 'Anti-Bacterial Agents', 'Antimicrobial Stewardship', 'Bacterial Infections', 'Child', 'Child, Preschool', 'Drug Resistance, Bacterial', 'Drug Utilization Review', 'Humans', 'Inappropriate Prescribing', 'Interrupted Time Series Analysis', 'Japan', 'Medical Audit', 'Non-Randomized Controlled Trials as Topic', 'Outpatients', 'Practice Guidelines as Topic', 'Tertiary Care Centers', 'Young Adult']","['Antimicrobial stewardship', 'Children', 'Oral antimicrobials', 'Preauthorization', 'Prospective audit and feedback']",6
34564550,Strategies Used for Implementing and Promoting Adherence to Antibiotic Guidelines in Low- and Lower-Middle-Income Countries: A Systematic Review.,"Containing antimicrobial resistance and reducing high levels of antibiotic consumption in low- and lower middle-income countries are a major challenge. Clinical guidelines targeting antibiotic prescribing can reduce consumption, however, the degrees to which clinical guidelines are adopted and adhered to are challenging for developers, policy makers and users. The aim of this study was to review the strategies used for implementing and promoting antibiotic guideline adherence in low- and lower middle-income countries. A review of published literature was conducted using PubMed, Cochrane Library, SCOPUS and the information systems of the World Health Organization and the Australian National University according to PRISMA guidelines and our PROSPERO protocol. The strategies were grouped into five broad categories based on the Cochrane Effective Practice and Organization of Care taxonomy. The 33 selected studies, representing 16 countries varied widely in design, setting, disease focus, methods, intervention components, outcomes and effects. The majority of interventions were multifaceted and resulted in a positive direction of effect. The nature of the interventions and study variability made it impossible to tease out which strategies had the greatest impact on improving CG compliance. Audit and feedback coupled with either workshops and/or focus group discussions were the most frequently used intervention components. All the reported strategies are established practices used in antimicrobial stewardship programs in high-income countries. We recommend interrupted time series studies be used as an alternative design to pre- and post-intervention studies, information about the clinical guidelines be made more transparent, and prescriber confidence be investigated.",Tropical medicine and infectious disease,2021,Nicola D Foxlee; Nicola Townell; Claire Heney; Lachlan McIver; Colleen L Lau,[],"['antibiotics', 'antimicrobial resistance', 'antimicrobial stewardship', 'clinical guidelines', 'low- and lower-middle-income countries', 'prescribing practices']",6
28002979,Antibiotic stewardship in community-acquired pneumonia.,"Community-acquired pneumonia (CAP) continues to be associated with significant mortality and morbidity. As with other infectious diseases, in recent years there has been a marked increase in resistance to the antibiotics commonly used against the pathogens that cause CAP. Antimicrobial stewardship denotes coordinated interventions to improve and measure the appropriate use of antibiotics by encouraging the selection of optimal drug regimens. Areas covered: Several elements can be applied to antibiotic stewardship strategies for CAP in order to maintain or improve patient outcomes. In this regard, antibiotic de-escalation, duration of antibiotic treatment, adherence to CAP guidelines recommendations about empirical treatment, and switching from intravenous to oral antibiotic therapy may each be relevant in this context. Antimicrobial stewardship strategies, such as prospective audit with intervention and feedback, clinical pathways, and dedicated multidisciplinary teams, that have included some of these elements have demonstrated improvements in antimicrobial use for CAP without negatively affecting clinical outcomes. Expert commentary: Although there are a limited number of randomized clinical studies addressing antimicrobial stewardship strategies in CAP, there is evidence that antibiotic stewardship initiatives can be securely applied, providing benefits to both healthcare systems and patients.",Expert review of anti-infective therapy,2017,Diego Viasus; Milly Vecino-Moreno; Juan M De La Hoz; Jordi Carratalà,"['Administration, Intravenous', 'Administration, Oral', 'Anti-Bacterial Agents', 'Community-Acquired Infections', 'Disease Management', 'Drug Administration Schedule', 'Drug Dosage Calculations', 'Drug Resistance, Multiple, Bacterial', 'Humans', 'Pneumonia, Bacterial', 'Practice Guidelines as Topic']","['Antibiotic', 'antimicrobial-resistance', 'community-acquired pneumonia', 'outcomes', 'stewardship']",6
27449956,Reducing co-administration of proton pump inhibitors and antibiotics using a computerized order entry alert and prospective audit and feedback.,Antibiotics and proton pump inhibitors (PPIs) are associated with Clostridium difficile infection (CDI). Both a computer order entry alert to highlight this association as well as antimicrobial stewardship directed prospective audit and feedback represent novel interventions to reduce the co-administration of antibiotics and PPIs among hospitalized patients.,BMC infectious diseases,2016,Christopher E Kandel; Suzanne Gill; Janine McCready; John Matelski; Jeff E Powis,"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Bacterial Agents', 'Canada', 'Clinical Audit', 'Decision Support Systems, Clinical', 'Female', 'Hospitalization', 'Hospitals, Teaching', 'Humans', 'Inappropriate Prescribing', 'Male', 'Medical Order Entry Systems', 'Middle Aged', 'Ontario', 'Prospective Studies', 'Proton Pump Inhibitors']","['Antibiotic stewardship', 'Clostridium difficile infection', 'Computerized alerts', 'Prospective audit and feedback', 'Proton pump inhibitors']",6
27277136,Assessment of Time to Clinical Response in Patients with Sepsis Treated Before and After Implementation of a Matrix-Assisted Laser Desorption Ionization Time-of-Flight Blood Culture Identification Algorithm.,"OBJECTIVE To evaluate time to clinical response before and after implementation of rapid blood culture identification technologies. DESIGN Before-and-after trial. SETTING Large, tertiary, urban, academic health-sciences center. PATIENTS Patients >18 years old with sepsis and concurrent bacteremia or fungemia were included in the study; patients who were pregnant, had polymicrobial septicemia, or were transferred from an outside hospital were excluded. INTERVENTION Prior to the intervention, polymerase chain reaction was used to identify Staphylococcus species from positive blood cultures, and traditional laboratory techniques were used to identify non-staphylococcal species. After the intervention, matrix-assisted laser desorption ionization time-of-flight (MALDI-TOF) assay and FilmArray were also used to identify additional species. During both periods, the antimicrobial stewardship team provided prospective audit and feedback for all patients on antibiotics. RESULTS A total of 219 patients were enrolled in the study: 115 patients prior to the intervention and 104 after the intervention. The median time to clinical response was statistically significantly shorter in the postintervention group than in the preintervention group (2 days vs 4 days, respectively; P=.002). By Cox regression, the implementation of MALDI-TOF and FilmArray was associated with shorter time to clinical response (hazard ratio [HR], 1.360; 95% confidence interval [CI], 1.018-1.816). After controlling for potential confounders, the study group was not independently associated with clinical response (adjusted HR, 1.279; 95% CI, 0.955-1.713). Mortality was numerically, but not statistically significantly, lower in the postintervention group than in the preintervention group (7.6% vs 11.4%; P=.342). CONCLUSIONS In the setting of an existing antimicrobial stewardship program, implementation of MALDI-TOF and FilmArray was associated with improved time to clinical response. Further research is needed to fully describe the effect of antimicrobial stewardship programs on time to clinical response. Infect Control Hosp Epidemiol 2016;37:916-923.",Infection control and hospital epidemiology,2016,Joseph J Carreno; Ben M Lomaestro; Apryl L Jacobs; Rachel E Meyer; Ann Evans; Clemente I Montero,"['Academic Medical Centers', 'Aged', 'Algorithms', 'Anti-Bacterial Agents', 'Blood Culture', 'Female', 'Humans', 'Male', 'Middle Aged', 'Proportional Hazards Models', 'Prospective Studies', 'Sepsis', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Time Factors']",[],6
37887258,Antimicrobial Stewardship in the Hospital Setting: A Narrative Review.,"The increasing global threat of antibiotic resistance, which has resulted in countless fatalities due to untreatable infections, underscores the urgent need for a strategic action plan. The acknowledgment that humanity is perilously approaching the ""End of the Miracle Drugs"" due to the unjustifiable overuse and misuse of antibiotics has prompted a critical reassessment of their usage. In response, numerous relevant medical societies have initiated a concerted effort to combat resistance by implementing antibiotic stewardship programs within healthcare institutions, grounded in evidence-based guidelines and designed to guide antibiotic utilization. Crucial to this initiative is the establishment of multidisciplinary teams within each hospital, led by a dedicated Infectious Diseases physician. This team includes clinical pharmacists, clinical microbiologists, hospital epidemiologists, infection control experts, and specialized nurses who receive intensive training in the field. These teams have evidence-supported strategies aiming to mitigate resistance, such as conducting prospective audits and providing feedback, including the innovative 'Handshake Stewardship' approach, implementing formulary restrictions and preauthorization protocols, disseminating educational materials, promoting antibiotic de-escalation practices, employing rapid diagnostic techniques, and enhancing infection prevention and control measures. While initial outcomes have demonstrated success in reducing resistance rates, ongoing research is imperative to explore novel stewardship interventions.","Antibiotics (Basel, Switzerland)",2023,Helen Giamarellou; Lamprini Galani; Theodoros Karavasilis; Konstantinos Ioannidis; Ilias Karaiskos,[],"['antibiotics', 'audit', 'de-escalation', 'feedback', 'handshake', 'preauthorization', 'resistance', 'restriction', 'stewardship', 'surgical prophylaxis']",6
