study_id,pmid,assessment_type,domain,assessment,supporting_evidence,judgment,comments,assessor_initials,assessment_date,overall_rob_rating
STUDY_0053,35042878,ITS,Protection against secular changes?,Adequate,"ITS design with 12 months pre + 12 months post, appropriate washout period, no major concurrent interventions mentioned",Low risk,Well-designed ITS with appropriate timeline and no major confounders identified,RA,2025-10-13,Low
STUDY_0053,35042878,ITS,Protection against detection bias?,Adequate,"Standard hospital mortality data collection, consistent measurement methods throughout study period",Low risk,Prospective data collection with consistent methodology,RA,2025-10-13,Low
STUDY_0053,35042878,ITS,Completeness of outcome data adequate?,Adequate,"Complete data for both pre and post periods, clear reporting of outcomes",Low risk,No missing data periods identified in the analysis,RA,2025-10-13,Low
STUDY_0053,35042878,ITS,Baseline characteristics similar?,Similar,Hospital setting and patient population stable throughout study period,Low risk,Consistent hospital setting with stable characteristics,RA,2025-10-13,Low
STUDY_0160,35588970,RoB-2,Randomization process adequately described,Yes,"RCT with proper randomization described, allocation concealment not detailed but assumed adequate for post-hoc analysis",Low risk,"Part of well-designed RCT, randomization process adequately described",RA,2025-10-13,Low
STUDY_0160,35588970,RoB-2,Deviations from intended interventions avoided,Yes,Post-hoc analysis suggests interventions were delivered as intended,Low risk,Standardized stewardship protocols followed,RA,2025-10-13,Low
STUDY_0160,35588970,RoB-2,Missing outcome data adequately addressed,No,"Post-hoc analysis of subset, potential for selection bias in high-risk patients",Some concerns,"Subset analysis may introduce selection bias, missing data not explicitly addressed",RA,2025-10-13,Some concerns
STUDY_0160,35588970,RoB-2,Outcome measures well-defined and consistently applied,Yes,"Clear bacteraemia-related mortality definition, consistent microbiological surveillance",Low risk,Standardised outcome definition and measurement,RA,2025-10-13,Low
STUDY_0160,35588970,RoB-2,Selection of reported results appropriate,Yes,"Post-hoc analysis focused on clinically relevant outcomes, appropriate statistical methods",Low risk,Focused on pre-specified high-risk subgroup,RA,2025-10-13,Low
STUDY_0101,35042979,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0101,35042979,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0101,35042979,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0101,35042979,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0101,35042979,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0101,35042979,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0101,35042979,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0102,35042980,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0102,35042980,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0103,35042981,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0103,35042981,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0104,35042982,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0104,35042982,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0105,35042983,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0105,35042983,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0106,35042984,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0106,35042984,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0107,35042985,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0107,35042985,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0108,35042986,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0108,35042986,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0109,35042987,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0109,35042987,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0110,35042988,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0110,35042988,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0111,35042989,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0111,35042989,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0112,35042990,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0112,35042990,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0113,35042991,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0113,35042991,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0113,35042991,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0113,35042991,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0113,35042991,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0113,35042991,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
