study_id,pmid,mortality_definition,mortality_timepoint,mortality_results,cdi_definition,cdi_diagnostic_method,cdi_results,mdro_organisms,mdro_definition,mdro_results,consumption_measure,consumption_results,effect_measure,statistical_model,adjustment_variables
STUDY_0001,37700179,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0025,34131939,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0031,34648594,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Time series analysis,[]
STUDY_0038,32364030,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0043,29339298,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Time series analysis,[]
STUDY_0044,34682223,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0048,28079629,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0053,35042878,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0058,36220019,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0061,37887223,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
