study_id,pmid,title,extraction_date,extractor,verification_status,journal,year,authors,doi,study_design,unit_randomization,study_duration_months,number_arms,setting_type,hospital_beds,geographic_region,study_population,sample_size,baseline_mrsa_rate,baseline_vre_rate,baseline_esbl_rate,baseline_cre_rate,baseline_cdi_rate,baseline_antibiotic_consumption,intervention_duration_months,training_provided,implementation_team,outcomes_measured,primary_outcomes,ethical_approval,clinical_trial_registration,funding_disclosure
STUDY_0001,37700179,The impact of a non-restrictive Antimicrobial Stewardship Program in the emergency department of a secondary-level Italian hospital.,2025-10-13T10:07:55.904188,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,37700179,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0025,34131939,Optimizing rapid diagnostics and diagnostic stewardship in Gram-negative bacteremia.,2025-10-13T10:07:55.909194,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34131939,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0031,34648594,"Changes in antibiotic consumption, AMR and Clostridioides difficile infections in a large tertiary-care center following the implementation of institution-specific guidelines for antimicrobial therapy: A nine-year interrupted time series study.",2025-10-13T10:07:55.910915,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34648594,ITS,Not specified,12.0,2,Tertiary care center,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['antibiotic_consumption', 'length_stay']",['antibiotic_consumption'],False,Not registered,False
STUDY_0038,32364030,"Effect of a ""handshake"" stewardship program versus a formulary restriction policy on High-End antibiotic use, expenditure, antibiotic resistance, and patient outcome.",2025-10-13T10:07:55.913266,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,32364030,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['mdro', 'antibiotic_consumption']","['mdro', 'antibiotic_consumption']",False,Not registered,False
STUDY_0043,29339298,Implementation and impact of an audit and feedback antimicrobial stewardship intervention in the orthopaedics department of a tertiary-care hospital: a controlled interrupted time series study.,2025-10-13T10:07:55.914298,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,29339298,ITS,Hospital ward/unit,12.0,2,Tertiary care center,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0044,34682223,Lessons from an Educational Invasive Fungal Disease Conference on Hospital Antifungal Stewardship Practices across the UK and Ireland.,2025-10-13T10:07:55.914878,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34682223,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Europe,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,True,Not specified,[],[],False,Not registered,False
STUDY_0048,28079629,Duration of pneumonia therapy and the role of biomarkers.,2025-10-13T10:07:55.916256,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,28079629,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0053,35042878,The impact of antimicrobial stewardship program designed to shorten antibiotics use on the incidence of resistant bacterial infections and mortality.,2025-10-13T10:07:55.918601,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35042878,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mortality'],['mortality'],False,Not registered,False
STUDY_0058,36220019,[Antimicrobial stewardship program during the COVID-19 pandemic].,2025-10-13T10:07:55.919596,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36220019,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0061,37887223,The Interventions and Challenges of Antimicrobial Stewardship in the Emergency Department.,2025-10-13T10:07:55.920443,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,37887223,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0065,36716763,"Efficacy and safety of antimicrobial stewardship prospective audit and feedback in patients hospitalised with COVID-19 (COVASP): a pragmatic, cluster-randomised, non-inferiority trial.",2025-10-13T10:07:55.921042,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36716763,Other,Individual patient,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0066,34635529,Infectious diseases experts as part of the antibiotic stewardship team in primary care: protocol for a cluster-randomised blinded study (IDASP).,2025-10-13T10:07:55.921823,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34635529,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Infectious diseases physician,[],[],False,Not registered,False
STUDY_0084,21679144,How could we reduce antibiotic use in critically ill patients?,2025-10-13T10:07:55.922566,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,21679144,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0095,40547325,Bacteriological Spectrum and Drug Resistance Among Patients Associated With Bloodstream Infection in Intensive Care Units in the Affiliated Hospital of Jiaxing University From 2021 to 2023.,2025-10-13T10:07:55.923652,Automated System,Pending,Not specified,2023,Authors not extracted from abstract,40547325,ITS,Hospital ward/unit,12.0,2,Academic/teaching hospital,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mdro'],['mdro'],False,Not registered,False
STUDY_0096,25011604,Antibiotic rotation strategies to reduce antimicrobial resistance in Gram-negative bacteria in European intensive care units: study protocol for a cluster-randomized crossover controlled trial.,2025-10-13T10:07:55.924638,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,25011604,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mdro'],['mdro'],False,Not registered,False
STUDY_0132,27385708,Antimicrobial Stewardship in the Microbiology Laboratory: Impact of Selective Susceptibility Reporting on Ciprofloxacin Utilization and Susceptibility of Gram-Negative Isolates to Ciprofloxacin in a Hospital Setting.,2025-10-13T10:07:55.925515,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,27385708,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Microbiologist,[],[],False,Not registered,False
STUDY_0136,36830213,Antimicrobial Stewardship Program for Patients in the Hematological Department Receiving Carbapenem Therapy: A Single-Center and Interrupted Time Series Analysis.,2025-10-13T10:07:55.926629,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36830213,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0144,28947463,Maltese Antibiotic Stewardship Programme in the Community (MASPIC): protocol of a prospective quasiexperimental social marketing intervention.,2025-10-13T10:07:55.928686,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,28947463,Other,Hospital ward/unit,12.0,2,Community hospital,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0145,38092304,Enforcing surveillance of antimicrobial resistance and antibiotic use to drive stewardship: experience in a paediatric setting.,2025-10-13T10:07:55.930837,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,38092304,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['mdro', 'antibiotic_consumption']","['mdro', 'antibiotic_consumption']",False,Not registered,False
STUDY_0146,38141837,The changes of different restriction level adjustments on antibiotic use in China.,2025-10-13T10:07:55.932354,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,38141837,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Asia,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
