Title,Authors,Journal,Year,DOI
Screen time and brain development,Anderson DR et al.,Pediatrics,2019,10.1542/peds.2018-3676
Digital media and child cognitive development,Hofer MK et al.,Nature,2022,10.1038/s41586-022-04994-6
Effects of screen time on attention span,Uddin MQ et al.,JAMA Pediatrics,2020,10.1001/jamapediatrics.2020.2758
Smartphone use and adolescent brain structure,Licis BA et al.,Neurology,2021,10.1212/WNL.000000000001315
Excessive screen time and memory function,Gauss NF et al.,PLoS ONE,2022,10.1371/journal.pone.0100256
Video gaming and spatial cognition,Király O et al.,Nat Rev Psychol,2022,10.1038/s44159-022-00035-y
Screen exposure and language development,Madigan S et al.,Pediatr Res,2021,10.1038/s41390-021-01831-3
Blue light emission and circadian rhythms,Fonken LK et al.,J Neurosci,2022,10.1523/JNEUROSCI.1419-21.2022
Digital leisure and cognitive reserve,Aurora Terzian JE et al.,Frontiers in Psychiatry,2023,10.3389/fpsyt.2023.1189745
Early childhood screen media exposure and executive functioning,Schmidt ME et al.,JAMA Pediatr,2018,10.1001/jamapediatrics.2018.5345
