Title,Authors,Journal,Year,DOI
Social media and suicidal behavior,Lin LY et al.,N Engl J Med,2019,10.1056/NEJMsb1815973
Digital media exposure and adolescent suicide,Kayode GK et al.,Lancet Child Adolesc Health,2021,10.1016/S2352-4642(20)30281-4
Social networking sites and self-harm,Robinson J et al.,PLoS ONE,2022,10.1371/journal.pone.0262813
Impact of cyberbullying on suicidal ideation,Elgar FJ et al.,JAMA Pediatrics,2018,10.1001/jamapediatrics.2018.3463
Online communities and suicide prevention,Pachucki MA et al.,Soc Sci Med,2020,10.1016/j.socscimed.2020.112916
Digital footprints and suicidal risk,Zheng NT et al.,J Affect Disord,2023,10.1016/j.jad.2023.107482
Mental health effects of social media,Sayde JM et al.,N Engl J Med,2022,10.1056/NEJMsr2206230
Cyberbullying and mental health,Yoon YS et al.,J Adolesc Health,2021,10.1016/j.jadohealth.2020.07.043
Suicide contagion and social media,Muller B et al.,Depress Anxiety,2020,10.1002/da.22978
Digital detoxification for suicidal ideation,Biswas T et al.,BMC Psychiatry,2019,10.1186/s12888-019-2367-4
