ds,y
2024-01-01,100.5
2024-01-02,105.2
2024-01-03,98.7
2024-01-04,112.1
2024-01-05,118.8
2024-01-06,115.3
2024-01-07,120.5
2024-01-08,125.2
2024-01-09,122.7
2024-01-10,128.1
2024-01-11,135.8
2024-01-12,142.3
2024-01-13,139.5
2024-01-14,145.2
2024-01-15,152.7
2024-01-16,158.1
2024-01-17,165.8
2024-01-18,172.3
2024-01-19,169.5
2024-01-20,175.2
2024-01-21,182.7
2024-01-22,188.1
2024-01-23,195.8
2024-01-24,202.3
2024-01-25,199.5
2024-01-26,205.2
2024-01-27,212.7
2024-01-28,218.1
2024-01-29,225.8
2024-01-30,232.3
2024-01-31,239.5
2024-02-01,245.2
2024-02-02,252.7
2024-02-03,258.1
2024-02-04,265.8
2024-02-05,272.3
2024-02-06,269.5
2024-02-07,275.2
2024-02-08,282.7
2024-02-09,288.1
2024-02-10,295.8
2024-02-11,302.3
2024-02-12,309.5
2024-02-13,315.2
2024-02-14,322.7
2024-02-15,328.1
2024-02-16,335.8
2024-02-17,342.3
2024-02-18,349.5
2024-02-19,355.2
2024-02-20,362.7
2024-02-21,368.1
2024-02-22,375.8
2024-02-23,382.3
2024-02-24,389.5
2024-02-25,395.2
2024-02-26,402.7
2024-02-27,408.1
2024-02-28,415.8
2024-02-29,422.3
2024-03-01,429.5
2024-03-02,435.2
2024-03-03,442.7
2024-03-04,448.1
2024-03-05,455.8
2024-03-06,462.3
2024-03-07,469.5
2024-03-08,475.2
2024-03-09,482.7
2024-03-10,488.1
2024-03-11,495.8
2024-03-12,502.3
2024-03-13,509.5
2024-03-14,515.2
2024-03-15,522.7
2024-03-16,528.1
2024-03-17,535.8
2024-03-18,542.3
2024-03-19,549.5
2024-03-20,555.2
2024-03-21,562.7
2024-03-22,568.1
2024-03-23,575.8
2024-03-24,582.3
2024-03-25,589.5
2024-03-26,595.2
2024-03-27,602.7
2024-03-28,608.1
2024-03-29,615.8
2024-03-30,622.3
2024-03-31,629.5
2024-04-01,635.2
2024-04-02,642.7
2024-04-03,648.1
2024-04-04,655.8
2024-04-05,662.3
2024-04-06,669.5
2024-04-07,675.2
