PMID: 39068060
Title: "Efficacy and Safety of Pioglitazone Add-on in Patients with Type 2 Diabetes Mellitus Inadequately Controlled with Metformin and Dapagliflozin: A Multicenter, Randomized, Double-blind, and Placebo-controlled Study"
Authors: Cho YK, Kim KS, Lee BW, Hong JH, Yu JM, Lim S, Kim YA, Lee CB, Kim SS, Kwak SH, Lee WJ
Journal: Clin Ther
Year: 2024
DOI: NA

STUDY_DESIGN: RCT
PHASE: Phase 4
COUNTRIES: South Korea
CENTERS: Multiple (8 centers)
FUNDING: NR
REGISTRATION: NCT04564391

SAMPLE_SIZE: 226 randomized
FOLLOW_UP_MONTHS: 6 months
COMPLETION_RATE: 94.2%

POPULATION_CRITERIA_INCLUSION: "T2D inadequately controlled with metformin and dapagliflozin"
POPULATION_CRITERIA_EXCLUSION: "Type 1 diabetes, contraindications to pioglitazone, heart failure NYHA III-IV"

BASELINE_AGE_MEAN: 58.2
BASELINE_AGE_SD: 10.1
BASELINE_AGE_RANGE: NR

BASELINE_SEX_MALE_PCT: 58.4

BASELINE_RACE_WHITE_PCT: 0
BASELINE_RACE_ASIAN_PCT: 100
BASELINE_RACE_BLACK_PCT: 0
BASELINE_RACE_HISPANIC_PCT: 0
BASELINE_RACE_OTHER_PCT: 0

BASELINE_DIABETES_DURATION_MEAN: 10.1
BASELINE_DIABETES_DURATION_SD: 6.8

BASELINE_HBA1C_MEAN: 8.1
BASELINE_HBA1C_SD: 0.8

BASELINE_BMI_MEAN: 26.8
BASELINE_BMI_SD: 3.9

BASELINE_EGFR_MEAN: 87.6
BASELINE_EGFR_SD: 19.2

BASELINE_COMORBIDITY_ASCVD_PCT: 12.4
BASELINE_COMORBIDITY_CKD_PCT: 15.0
BASELINE_COMORBIDITY_HF_PCT: 2.2
BASELINE_COMORBIDITY_HYPERTENSION_PCT: 62.4

INTERVENTION_ARM1_NAME: Pioglitazone + Metformin + Dapagliflozin
INTERVENTION_ARM1_DRUG_CLASS: Triple therapy (TZD + SGLT2i + Metformin)
INTERVENTION_ARM1_SPECIFIC_DRUG: Pioglitazone 15mg + Dapagliflozin 10mg + Metformin ≥1000mg
INTERVENTION_ARM1_DOSE: Pioglitazone 15mg daily
INTERVENTION_ARM1_FREQUENCY: Daily
INTERVENTION_ARM1_BACKGROUND: Metformin + Dapagliflozin
INTERVENTION_ARM1_PARTICIPANTS: 114

INTERVENTION_ARM2_NAME: Placebo + Metformin + Dapagliflozin
INTERVENTION_ARM2_DRUG_CLASS: Dual therapy (SGLT2i + Metformin)
INTERVENTION_ARM2_SPECIFIC_DRUG: Placebo + Dapagliflozin 10mg + Metformin ≥1000mg
INTERVENTION_ARM2_DOSE: Placebo
INTERVENTION_ARM2_FREQUENCY: Daily
INTERVENTION_ARM2_BACKGROUND: Metformin + Dapagliflozin
INTERVENTION_ARM2_PARTICIPANTS: 112

OUTCOME_CV_COMPOSITE_DEFINITION: NR
OUTCOME_CV_COMPOSITE_TIMEPOINT_MONTHS: 6

OUTCOME_CV_COMPOSITE_ARM1_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM1_TOTAL: 114
OUTCOME_CV_COMPOSITE_ARM1_EFFECT: NR
OUTCOME_CV_COMPOSITE_ARM2_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM2_TOTAL: 112
OUTCOME_CV_COMPOSITE_ARM2_EFFECT: NR

OUTCOME_EGFR_DECLINE_DEFINITION: NR
OUTCOME_EGFR_DECLINE_TIMEPOINT_MONTHS: 6

OUTCOME_EGFR_DECLINE_ARM1_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM1_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM1_EFFECT: "eGFR change: -0.1 ± 8.9 mL/min/1.73m²"
OUTCOME_EGFR_DECLINE_ARM2_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM2_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM2_EFFECT: "eGFR change: -1.1 ± 9.1 mL/min/1.73m²"

OUTCOME_ESKD_DEFINITION: NR
OUTCOME_ESKD_TIMEPOINT_MONTHS: 6

OUTCOME_ESKD_ARM1_EVENTS: 0
OUTCOME_ESKD_ARM1_TOTAL: 114
OUTCOME_ESKD_ARM1_EFFECT: NR
OUTCOME_ESKD_ARM2_EVENTS: 0
OUTCOME_ESKD_ARM2_TOTAL: 112
OUTCOME_ESKD_ARM2_EFFECT: NR

OUTCOME_HYPOGLYCEMIA_DEFINITION: "Hypoglycemia (symptomatic or <70 mg/dL)"
OUTCOME_HYPOGLYCEMIA_TIMEPOINT_MONTHS: 6

OUTCOME_HYPOGLYCEMIA_ARM1_EVENTS: 12
OUTCOME_HYPOGLYCEMIA_ARM1_TOTAL: 114
OUTCOME_HYPOGLYCEMIA_ARM1_EFFECT: "Pioglitazone vs placebo: OR 1.85 (95% CI 0.79-4.35)"
OUTCOME_HYPOGLYCEMIA_ARM2_EVENTS: 7
OUTCOME_HYPOGLYCEMIA_ARM2_TOTAL: 112
OUTCOME_HYPOGLYCEMIA_ARM2_EFFECT: Reference

OUTCOME_HBA1C_CHANGE_TIMEPOINT_WEEKS: 24

OUTCOME_HBA1C_ARM1_BASELINE_MEAN: 8.1
OUTCOME_HBA1C_ARM1_BASELINE_SD: 0.8
OUTCOME_HBA1C_ARM1_CHANGE_MEAN: -0.8
OUTCOME_HBA1C_ARM1_CHANGE_SD: 0.9
OUTCOME_HBA1C_ARM1_MD: "-0.8% vs placebo (95% CI -1.0 to -0.6)"
OUTCOME_HBA1C_ARM2_BASELINE_MEAN: 8.1
