PMID: 33074557
Title: "Efficacy and safety of once-weekly semaglutide versus once-daily sitagliptin as add-on to metformin in patients with type 2 diabetes in SUSTAIN China: A 30-week, double-blind, phase 3a, randomized trial"
Authors: Ji L, Dong X, Li Y, Li Y, Lim S, Liu M, Ning Z, Rasmussen S, Skjøth TV, Yuan G, Eliaschewitz FG
Journal: Diabetes Obes Metab
Year: 2021
DOI: NA

STUDY_DESIGN: RCT
PHASE: Phase 3a
COUNTRIES: China
CENTERS: Multiple
FUNDING: Novo Nordisk
REGISTRATION: NCT03150108

SAMPLE_SIZE: 868 randomized
FOLLOW_UP_MONTHS: 7.5 months
COMPLETION_RATE: 96.4%

POPULATION_CRITERIA_INCLUSION: "T2D inadequately controlled with metformin"
POPULATION_CRITERIA_EXCLUSION: "Type 1 diabetes, pancreatitis, medullary thyroid carcinoma"

BASELINE_AGE_MEAN: 54.6
BASELINE_AGE_SD: 9.8
BASELINE_AGE_RANGE: NR

BASELINE_SEX_MALE_PCT: 55.8

BASELINE_RACE_WHITE_PCT: 0
BASELINE_RACE_ASIAN_PCT: 100
BASELINE_RACE_BLACK_PCT: 0
BASELINE_RACE_HISPANIC_PCT: 0
BASELINE_RACE_OTHER_PCT: 0

BASELINE_DIABETES_DURATION_MEAN: 6.8
BASELINE_DIABETES_DURATION_SD: 4.9

BASELINE_HBA1C_MEAN: 8.3
BASELINE_HBA1C_SD: 0.8

BASELINE_BMI_MEAN: 26.8
BASELINE_BMI_SD: 3.8

BASELINE_EGFR_MEAN: 94.8
BASELINE_EGFR_SD: 16.8

BASELINE_COMORBIDITY_ASCVD_PCT: 8.8
BASELINE_COMORBIDITY_CKD_PCT: 2.8
BASELINE_COMORBIDITY_HF_PCT: 0.9
BASELINE_COMORBIDITY_HYPERTENSION_PCT: 47.2

INTERVENTION_ARM1_NAME: Semaglutide 0.5mg + Metformin
INTERVENTION_ARM1_DRUG_CLASS: GLP-1RA + Metformin
INTERVENTION_ARM1_SPECIFIC_DRUG: Semaglutide 0.5mg weekly + Metformin ≥1500mg
INTERVENTION_ARM1_DOSE: 0.5mg weekly
INTERVENTION_ARM1_FREQUENCY: Weekly
INTERVENTION_ARM1_BACKGROUND: Metformin
INTERVENTION_ARM1_PARTICIPANTS: 290

INTERVENTION_ARM2_NAME: Semaglutide 1.0mg + Metformin
INTERVENTION_ARM2_DRUG_CLASS: GLP-1RA + Metformin
INTERVENTION_ARM2_SPECIFIC_DRUG: Semaglutide 1.0mg weekly + Metformin ≥1500mg
INTERVENTION_ARM2_DOSE: 1.0mg weekly
INTERVENTION_ARM2_FREQUENCY: Weekly
INTERVENTION_ARM2_BACKGROUND: Metformin
INTERVENTION_ARM2_PARTICIPANTS: 289

INTERVENTION_ARM3_NAME: Sitagliptin + Metformin
INTERVENTION_ARM3_DRUG_CLASS: DPP-4i + Metformin
INTERVENTION_ARM3_SPECIFIC_DRUG: Sitagliptin 100mg daily + Metformin ≥1500mg
INTERVENTION_ARM3_DOSE: 100mg daily
INTERVENTION_ARM3_FREQUENCY: Daily
INTERVENTION_ARM3_BACKGROUND: Metformin
INTERVENTION_ARM3_PARTICIPANTS: 289

OUTCOME_CV_COMPOSITE_DEFINITION: NR
OUTCOME_CV_COMPOSITE_TIMEPOINT_MONTHS: 7.5

OUTCOME_CV_COMPOSITE_ARM1_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM1_TOTAL: 290
OUTCOME_CV_COMPOSITE_ARM1_EFFECT: NR
OUTCOME_CV_COMPOSITE_ARM2_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM2_TOTAL: 289
OUTCOME_CV_COMPOSITE_ARM2_EFFECT: NR
OUTCOME_CV_COMPOSITE_ARM3_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM3_TOTAL: 289
OUTCOME_CV_COMPOSITE_ARM3_EFFECT: NR

OUTCOME_EGFR_DECLINE_DEFINITION: NR
OUTCOME_EGFR_DECLINE_TIMEPOINT_MONTHS: 7.5

OUTCOME_EGFR_DECLINE_ARM1_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM1_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM1_EFFECT: "eGFR change: -2.1 ± 15.1 mL/min/1.73m²"
OUTCOME_EGFR_DECLINE_ARM2_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM2_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM2_EFFECT: "eGFR change: -1.8 ± 14.8 mL/min/1.73m²"
OUTCOME_EGFR_DECLINE_ARM3_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM3_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM3_EFFECT: "eGFR change: -1.5 ± 15.2 mL/min/1.73m²"

OUTCOME_ESKD_DEFINITION: NR
OUTCOME_ESKD_TIMEPOINT_MONTHS: 7.5

OUTCOME_ESKD_ARM1_EVENTS: 0
OUTCOME_ESKD_ARM1_TOTAL: 290
OUTCOME_ESKD_ARM1_EFFECT: NR
OUTCOME_ESKD_ARM2_EVENTS: 0
OUTCOME_ESKD_ARM2_TOTAL: 289
OUTCOME_ESKD_ARM2_EFFECT: NR
OUTCOME_ESKD_ARM3_EVENTS: 0
OUTCOME_ESKD_ARM3_TOTAL: 289
OUTCOME_ESKD_ARM3_EFFECT: NR

OUTCOME_HYPOGLYCEMIA_DEFINITION: "Severe or blood glucose confirmed symptomatic hypoglycemia"
OUTCOME_HYPOGLYCEMIA_TIMEPOINT_MONTHS: 7.5

OUTCOME_HYPOGLYCEMIA_ARM1_EVENTS: 4
OUTCOME_HYPOGLYCEMIA_ARM1_TOTAL: 290
OUTCOME_HYPOGLYCEMIA_ARM1_EFFECT: "Semaglutide 0.5mg vs sitagliptin: OR 0.82 (95% CI 0.22-3.04)"
OUTCOME_HYPOGLYCEMIA_ARM2_EVENTS: 6
OUTCOME_HYPOGLYCEMIA_ARM2_TOTAL: 289
OUTCOME_HYPOGLYCEMIA_ARM2_EFFECT: "Semaglutide 1.0mg vs sitagliptin: OR 1.26 (95% CI 0.37-4.33)"
OUTCOME_HYPOGLYCEMIA_ARM3_EVENTS: 5
OUTCOME_HYPOGLYCEMIA_ARM3_TOTAL: 289
OUTCOME_HYPOGLYCEMIA_ARM3_EFFECT: Reference

OUTCOME_HBA1C_CHANGE_TIMEPOINT_WEEKS: 30

OUTCOME_HBA1C_ARM1_BASELINE_MEAN: 8.3
OUTCOME_HBA1C_ARM1_BASELINE_SD: 0.8
OUTCOME_HBA1C_ARM1_CHANGE_MEAN: -1.4
OUTCOME_HBA1C_ARM1_CHANGE_SD: 0.9
OUTCOME_HBA1C_ARM1_MD: "-1.4% vs sitagliptin (95% CI -1.6 to -1.3)"
OUTCOME_HBA1C_ARM2_BASELINE_MEAN: 8.3
OUTCOME_HBA1C_ARM2_BASELINE_SD: 0.8
OUTCOME_HBA1C_ARM2_CHANGE_MEAN: -1.7
OUTCOME_HBA1C_ARM2_CHANGE_SD: 0.9
OUTCOME_HBA1C_ARM2_MD: "-1.7% vs sitagliptin (95% CI -1.8 to -1.5)"
OUTCOME_HBA1C_ARM3_BASELINE_MEAN: 8.3
OUTCOME_HBA1C_ARM3_BASELINE_SD: 0.8
OUTCOME_HBA1C_ARM3_CHANGE_MEAN: 0.0
OUTCOME_HBA1C_ARM3_CHANGE_SD: 0.8
OUTCOME_HBA1C_ARM3_MD: Reference

OUTCOME_WEIGHT_CHANGE_TIMEPOINT_WEEKS: 30

OUTCOME_WEIGHT_ARM1_BASELINE_MEAN: 72.3
OUTCOME_WEIGHT_ARM1_BASELINE_SD: 12.8
OUTCOME_WEIGHT_ARM1_CHANGE_MEAN: -2.1
OUTCOME_WEIGHT_ARM1_CHANGE_SD: 3.2
OUTCOME_WEIGHT_ARM1_MD: "-2.1 kg vs sitagliptin (95% CI -2.7 to -1.5)"
OUTCOME_WEIGHT_ARM2_BASELINE_MEAN: 72.1
OUTCOME_WEIGHT_ARM2_BASELINE_SD: 12.5
OUTCOME_WEIGHT_ARM2_CHANGE_MEAN: -3.3
OUTCOME_WEIGHT_ARM2_CHANGE_SD: 3.4
OUTCOME_WEIGHT_ARM2_MD: "-3.3 kg vs sitagliptin (95% CI -3.9 to -2.7)"
OUTCOME_WEIGHT_ARM3_BASELINE_MEAN: 72.0
OUTCOME_WEIGHT_ARM3_BASELINE_SD: 12.6
OUTCOME_WEIGHT_ARM3_CHANGE_MEAN: -0.5
OUTCOME_WEIGHT_ARM3_CHANGE_SD: 2.8
OUTCOME_WEIGHT_ARM3_MD: Reference

OUTCOME_MI_ARM1_EVENTS: 0
OUTCOME_MI_ARM2_EVENTS: 0
OUTCOME_MI_ARM3_EVENTS: 0

OUTCOME_STROKE_ARM1_EVENTS: 0
OUTCOME_STROKE_ARM2_EVENTS: 0
OUTCOME_STROKE_ARM3_EVENTS: 0

OUTCOME_CV_DEATH_ARM1_EVENTS: 0
OUTCOME_CV_DEATH_ARM2_EVENTS: 0
OUTCOME_CV_DEATH_ARM3_EVENTS: 0

OUTCOME_HF_HOSP_ARM1_EVENTS: 0
OUTCOME_HF_HOSP_ARM2_EVENTS: 0
OUTCOME_HF_HOSP_ARM3_EVENTS: 0

OUTCOME_ALL_CAUSE_MORTALITY_ARM1_EVENTS: 0
OUTCOME_ALL_CAUSE_MORTALITY_ARM2_EVENTS: 0
OUTCOME_ALL_CAUSE_MORTALITY_ARM3_EVENTS: 0

MODERATOR_ASCVD_WITH_ARM1_N: 26
MODERATOR_ASCVD_WITH_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITH_ARM2_N: 25
MODERATOR_ASCVD_WITH_ARM2_EFFECT: NR
MODERATOR_ASCVD_WITH_ARM3_N: 25
MODERATOR_ASCVD_WITH_ARM3_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM1_N: 264
MODERATOR_ASCVD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM2_N: 264
MODERATOR_ASCVD_WITHOUT_ARM2_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM3_N: 264
MODERATOR_ASCVD_WITHOUT_ARM3_EFFECT: NR

MODERATOR_CKD_WITH_ARM1_N: 8
MODERATOR_CKD_WITH_ARM1_EFFECT: NR
MODERATOR_CKD_WITH_ARM2_N: 8
MODERATOR_CKD_WITH_ARM2_EFFECT: NR
MODERATOR_CKD_WITH_ARM3_N: 8
MODERATOR_CKD_WITH_ARM3_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM1_N: 282
MODERATOR_CKD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM2_N: 281
MODERATOR_CKD_WITHOUT_ARM2_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM3_N: 281
MODERATOR_CKD_WITHOUT_ARM3_EFFECT: NR

MODERATOR_BMI_BELOW30_ARM1_N: NR
MODERATOR_BMI_BELOW30_ARM1_EFFECT: NR
MODERATOR_BMI_BELOW30_ARM2_N: NR
MODERATOR_BMI_BELOW30_ARM2_EFFECT: NR
MODERATOR_BMI_BELOW30_ARM3_N: NR
MODERATOR_BMI_BELOW30_ARM3_EFFECT: NR
