PMID: 34248838
Title: "Efficacy of Semaglutide in a Subcutaneous and an Oral Formulation"
Authors: Meier JJ
Journal: Front Endocrinol (Lausanne)
Year: 2021
DOI: NA

STUDY_DESIGN: Review of SUSTAIN program
PHASE: Phase 3
COUNTRIES: Multi-national
CENTERS: Multiple
FUNDING: Novo Nordisk (review of sponsored trials)
REGISTRATION: Multiple NCT numbers

SAMPLE_SIZE: NR (review of multiple trials, >10,000 patients total)
FOLLOW_UP_MONTHS: Varied (30-56 weeks across SUSTAIN trials)
COMPLETION_RATE: NR

POPULATION_CRITERIA_INCLUSION: "T2DM patients from SUSTAIN program"
POPULATION_CRITERIA_EXCLUSION: NR

BASELINE_AGE_MEAN: NR
BASELINE_AGE_SD: NR
BASELINE_AGE_RANGE: NR

BASELINE_SEX_MALE_PCT: NR

BASELINE_RACE_WHITE_PCT: NR
BASELINE_RACE_ASIAN_PCT: NR
BASELINE_RACE_BLACK_PCT: NR
BASELINE_RACE_HISPANIC_PCT: NR
BASELINE_RACE_OTHER_PCT: NR

BASELINE_DIABETES_DURATION_MEAN: NR
BASELINE_DIABETES_DURATION_SD: NR

BASELINE_HBA1C_MEAN: 8.1
BASELINE_HBA1C_SD: NR

BASELINE_BMI_MEAN: NR
BASELINE_BMI_SD: NR

BASELINE_EGFR_MEAN: NR
BASELINE_EGFR_SD: NR

BASELINE_COMORBIDITY_ASCVD_PCT: NR
BASELINE_COMORBIDITY_CKD_PCT: NR
BASELINE_COMORBIDITY_HF_PCT: NR
BASELINE_COMORBIDITY_HYPERTENSION_PCT: NR

INTERVENTION_ARM1_NAME: Semaglutide 1.0mg subcutaneous
INTERVENTION_ARM1_DRUG_CLASS: GLP-1RA
INTERVENTION_ARM1_SPECIFIC_DRUG: Semaglutide
INTERVENTION_ARM1_DOSE: 1.0mg weekly
INTERVENTION_ARM1_FREQUENCY: Weekly
INTERVENTION_ARM1_BACKGROUND: Standard care
INTERVENTION_ARM1_PARTICIPANTS: NR

INTERVENTION_ARM2_NAME: Semaglutide 0.5mg subcutaneous
INTERVENTION_ARM2_DRUG_CLASS: GLP-1RA
INTERVENTION_ARM2_SPECIFIC_DRUG: Semaglutide
INTERVENTION_ARM2_DOSE: 0.5mg weekly
INTERVENTION_ARM2_FREQUENCY: Weekly
INTERVENTION_ARM2_BACKGROUND: Standard care
INTERVENTION_ARM2_PARTICIPANTS: NR

OUTCOME_CV_COMPOSITE_DEFINITION: "MACE (CV death, non-fatal MI, non-fatal stroke)"
OUTCOME_CV_COMPOSITE_TIMEPOINT_MONTHS: Varied

OUTCOME_CV_COMPOSITE_ARM1_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM1_TOTAL: NR
